code,avg_ratio_120_60,avg_ratio_60_20,avg_ratio_20_5
180640,1,1,1.01
180640,1.06,1.06,1
285130,0.95,0.95,1.02
285130,1.03,1.03,1
026890,1.07,1.07,1.02
026890,1,1,1.01
021050,0.99,0.99,1.02
021050,1,1,1.01
091810,0.97,0.97,0.99
091810,0.96,0.96,0.97
026940,1.07,1.07,1
026940,1.06,1.06,1.04
000885,0.99,0.99,0.99
000885,1,1,1
025890,0.99,0.99,1
025890,0.98,0.98,0.99
069080,0.98,0.98,0.99
069080,1,1,0.98
215600,0.93,0.93,0.99
215600,0.9,0.9,0.94
122870,1.09,1.09,1.03
122870,0.94,0.94,0.99
178320,1,1,1
178320,1.07,1.07,0.99
100090,1,1,0.98
100090,0.97,0.97,0.97
078070,0.9,0.9,1.05
078070,0.98,0.98,0.97
052400,1.03,1.03,0.99
052400,1.04,1.04,1.01
089970,0.99,0.99,1.01
089970,1.04,1.04,1.03
058110,1.02,1.02,1
058110,1.01,1.01,1.01
121800,0.94,0.94,0.96
121800,0.95,0.95,0.97
214610,0.94,0.94,1
214610,0.97,0.97,0.98
126880,0.96,0.96,1.03
126880,0.95,0.95,0.95
225220,0.96,0.96,0.99
225220,0.95,0.95,0.98
080580,0.98,0.98,1.04
080580,0.97,0.97,1.03
108490,0.99,0.99,1.03
108490,1.01,1.01,1.02
182360,0.93,0.93,0.99
182360,0.91,0.91,0.98
299900,0.95,0.95,0.99
299900,1,1,0.96
085370,0.94,0.94,0.95
085370,0.96,0.96,0.97
050760,1.05,1.05,1
050760,0.99,0.99,0.98
217820,1.01,1.01,1.01
217820,1,1,0.99
109960,1.02,1.02,0.98
109960,1.01,1.01,0.99
109610,0.98,0.98,0.99
109610,0.97,0.97,0.98
033130,0.95,0.95,1.03
033130,1.02,1.02,1.01
089790,1.02,1.02,1.04
089790,1.03,1.03,0.98
024880,0.96,0.96,0.97
024880,1.03,1.03,1.02
042940,1.05,1.05,0.95
042940,0.87,0.87,0.96
016670,0.98,0.98,1
016670,0.99,0.99,0.95
071280,1.02,1.02,0.97
071280,0.95,0.95,0.98
219750,1.01,1.01,0.99
219750,1,1,1.02
033230,0.93,0.93,1
033230,1,1,0.99
052600,1,1,1.02
052600,1.02,1.02,1.01
215790,0.94,0.94,0.95
215790,0.97,0.97,0.94
219550,1.03,1.03,0.99
219550,0.99,0.99,1
024740,1.04,1.04,1.01
024740,1.03,1.03,0.99
033170,1.03,1.03,1.02
033170,0.97,0.97,1.04
234920,1.04,1.04,0.99
234920,0.95,0.95,1
140520,1,1,0.99
140520,0.99,0.99,0.97
098120,1.03,1.03,1.04
098120,1.05,1.05,1.02
279600,1.02,1.02,1.03
279600,1.06,1.06,1.02
093640,0.97,0.97,0.98
093640,1,1,0.99
217190,0.87,0.87,1.03
217190,1.05,1.05,0.99
127160,0.84,0.84,0.94
127160,0.86,0.86,0.98
121890,0.93,0.93,0.97
121890,0.94,0.94,0.98
